indonesian_original,indonesian,papua_kokas,is_augmented
aku suka novel fiksi dan buku motivasi.,Saya gemar membaca novel fiksi dan buku motivasi.,yai suka novel fiksi adi buku motivasi.,True
aku suka novel fiksi dan buku motivasi.,aku suka novel fiksi dan buku motivasi.,yai suka novel fiksi adi buku motivasi.,False
saya ingin membeli buku baru,Saya berkeinginan untuk memperoleh buku terbaru.,yai emau etoin buku beri-beri,True
saya ingin membeli buku baru,saya ingin membeli buku baru,yai emau etoin buku beri-beri,False
bagaimana cara kita bisa mempromosikan produk lokal ke pasar internasional?,Bagaimanakah strategi untuk memasarkan produk lokal ke tingkat internasional?,ita cara akape bisa mempromosikan produk lokal afi pasar internasional?,True
bagaimana cara kita bisa mempromosikan produk lokal ke pasar internasional?,bagaimana cara kita bisa mempromosikan produk lokal ke pasar internasional?,ita cara akape bisa mempromosikan produk lokal afi pasar internasional?,False
apa inovasi terbaru dalam teknologi,Apa saja perkembangan terkini di bidang teknologi?,kusafa inovasi beri-beri ami teknologi nanam,True
apa inovasi terbaru dalam teknologi,apa inovasi terbaru dalam teknologi,kusafa inovasi beri-beri ami teknologi nanam,False
. bagaimana cara kamu merayakan hari besar keagamaan di indonesia?,Bagaimana perayaan hari besar keagamaan dilakukan di Indonesia?,o cara akape merayakan rera magen keagamaan ami indonesia,True
. bagaimana cara kamu merayakan hari besar keagamaan di indonesia?,. bagaimana cara kamu merayakan hari besar keagamaan di indonesia?,o cara akape merayakan rera magen keagamaan ami indonesia,False
saya ingin mendengarkan musik saat berolahraga,Saya senang mendengarkan musik ketika sedang berolahraga.,yai emau etanam musik saat berolahraga,True
saya ingin mendengarkan musik saat berolahraga,saya ingin mendengarkan musik saat berolahraga,yai emau etanam musik saat berolahraga,False
ceritakan tentang pengalamanmu mengikuti kegiatan relawan di lingkungan sekitar,Bagikan pengalaman Anda saat mengikuti kegiatan sukarela di sekitar tempat tinggal.,mi carita tentang o pengalaman mosir kegiatan relawan ami sekitar o tompat tinggal,True
ceritakan tentang pengalamanmu mengikuti kegiatan relawan di lingkungan sekitar,ceritakan tentang pengalamanmu mengikuti kegiatan relawan di lingkungan sekitar,mi carita tentang o pengalaman mosir kegiatan relawan ami sekitar o tompat tinggal,False
kamu pernah mendengar tentang festival ini,Apakah Anda mengetahui festival tersebut?,o pernah mitanam tentang festival ige,True
kamu pernah mendengar tentang festival ini,kamu pernah mendengar tentang festival ini,o pernah mitanam tentang festival ige,False
